domain,owner,type,certified_date,cert_level,detail_url
bocongan.gov.vn,Bộ Công an,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bocongan.gov.vn
bvdkmelinh.vn,Bệnh viện Đa khoa huyện Mê Linh,Tổ chức nhà nước,27/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvdkmelinhvn-1732695421
bvdkquanson.com.vn,"Bệnh viện đa khoa huyện Quan Sơn, tỉnh Thanh Hóa",Tổ chức nhà nước,25/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvdkquansoncomvn-1732249868
bvdksamson.vn,Bệnh viện Đa khoa Thành phố Sầm Sơn,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvdksamsonvn-1729133270
bvdktinh.vinhlong.gov.vn,Bệnh viện Đa khoa Vĩnh Long,Tổ chức nhà nước,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvdktinhvinhlonggovvn-1723689323
bvdkvinhloc.gov.vn,"Bệnh viện đa khoa huyện Vĩnh Lộc, tỉnh Thanh Hóa",Tổ chức nhà nước,25/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvdkvinhlocgovvn-1732249908
bvhoaphu.vinhlong.gov.vn,Bệnh viện Đa khoa khu vực Hòa Phú tỉnh Vĩnh Long,Tổ chức nhà nước,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvhoaphuvinhlonggovvn-1723689425
bvkvnghison.vn,Bệnh viện Đa khoa khu vực Nghi Sơn tỉnh Thanh Hóa,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvkvnghisonvn-1729133480
bvnamlienchieu.com,Bệnh viện đa khoa Nam Liên Chiểu,Cơ quan nhà nước,17/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvnamlienchieucom-1657269063
bvnhuxuan.ytethanhhoa.gov.vn,Bệnh viện đa khoa huyện Như Xuân,Tổ chức nhà nước,26/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvnhuxuanytethanhhoagovvn-1727317048
bvp.vinhlong.gov.vn,Bệnh viện Phổi Vĩnh Long,Tổ chức nhà nước,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvpvinhlonggovvn-1723689224
bvqdy.vinhlong.gov.vn,Bệnh viện Đa khoa khu vực kết hợp Quân Dân Y tỉnh Vĩnh Long,Tổ chức nhà nước,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvqdyvinhlonggovvn-1723689364
bvtamthan.vinhlong.gov.vn,Bệnh viện Tâm Thần Vĩnh Long,Tổ chức nhà nước,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvtamthanvinhlonggovvn-1723689192
bvydct.vinhlong.gov.vn,Bệnh viện Y dược cổ truyền tỉnh Vĩnh Long,Tổ chức nhà nước,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvydctvinhlonggovvn-1723689288
c1vthang-nt.khanhhoa.edu.vn,Trường Tiểu học Vạn Thắng - Nha Trang,Tổ chức nhà nước,07/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/c1vthang-ntkhanhhoaeduvn-1728267604
camau.gov.vn,UBND tỉnh Cà Mau,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/camau.gov.vn
canhantmdt.gdt.gov.vn,Tổng cục Thuế,Tổ chức nhà nước,02/01/2025,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/canhantmdtgdtgovvn-1735615850
cantho.gov.vn,UBND TP Cần Thơ,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cantho.gov.vn
caobang.gov.vn,UBND tỉnh Cao Bằng,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/caobang.gov.vn
ccatvstp.vinhlong.gov.vn,Chi cục An toàn vệ sinh thực phẩm tỉnh Vĩnh Long,Tổ chức nhà nước,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ccatvstpvinhlonggovvn-1723689143
ccds.vinhlong.gov.vn,Chi cục Dân số - Kế hoạch hóa gia đình tỉnh Vĩnh Long,Tổ chức nhà nước,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ccdsvinhlonggovvn-1723689102
cddl.edu.vn,Trường Cao đẳng Đà Lạt,Tổ chức nhà nước,08/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cddleduvn-1726647629
cdhue.edu.vn,Trường Cao đẳng Huế,Tổ chức nhà nước,06/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cdhueeduvn-1733304682
cds.ninhbinh.gov.vn,Ban chỉ đạo Chuyển đổi số tỉnh Ninh Bình,Tổ chức nhà nước,29/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cdsninhbinhgovvn-1732760795
chicucdansothanhhoa.vn,Chi cục Dân số tỉnh Thanh Hóa,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/chicucdansothanhhoavn-1729133358
chicucthuyloithanhhoa.gov.vn,Chi cục Thủy lợi tỉnh Thanh Hóa,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/chicucthuyloithanhhoagovvn-1729132790
chiengsinh.tuangiao.gov.vn,"Xã Chiềng Sinh - Huyện Tuần Giáo, tỉnh Điện Biên",Tổ chức nhà nước,15/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/chiengsinhtuangiaogovvn-1728897499
chinhphu.vn,Cổng Thông tin Điện tử Chính phủ,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/chinhphu.vn
chungkhoanlagi.vn,Siêu thị chứng khoán Nududo,Ngân hàng - Tổ chức tài chính,06/05/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/chungkhoanlagivn-1651807586
citibank.com.vn,Ngân hàng Citibank N.A. - Chi nhánh Việt Nam,Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/citibank.com.vn
congan.dienbien.gov.vn,Công an tỉnh Điện Biên,Tổ chức nhà nước,25/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/congandienbiengovvn-1729737871
congantp.thainguyen.gov.vn,Công an thành phố Thái Nguyên,Tổ chức nhà nước,02/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/congantpthainguyengovvn-1727678277
congbao.quangtri.gov.vn,UBND tỉnh Quảng Trị,Tổ chức nhà nước,19/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/congbaoquangtrigovvn-1724051187
congdoandienbien.org.vn,Liên đoàn lao động tỉnh Điện Biên,Tổ chức nhà nước,22/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/congdoandienbienorgvn-1732247773
conthoi.kimson.ninhbinh.gov.vn,"Uỷ ban nhân dân xã Cồn Thoi, huyện Kim Sơn, tỉnh Ninh Bình",Tổ chức nhà nước,27/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/conthoikimsonninhbinhgovvn-1719453365
csdlbcvt.quangngai.gov.vn,Sở Thông tin và Truyền thông Quảng Ngãi,Tổ chức nhà nước,13/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/csdlbcvtquangngaigovvn-1688609237
csdlpctt.quangngai.gov.vn,Sở Thông tin và Truyền thông Quảng Ngãi,Tổ chức nhà nước,13/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/csdlpcttquangngaigovvn-1710902186
csdlsxd.danang.gov.vn,Sở Xây dựng thành phố Đà Nẵng,Tổ chức nhà nước,05/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/csdlsxddananggovvn-1725509168
cucthongke.quangtri.gov.vn,Cục Thống kê tỉnh Quảng Trị,Tổ chức nhà nước,27/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongkequangtrigovvn-1727336504
cucthongkecamau.gso.gov.vn,Cục Thống kê tỉnh Cà Mau,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongkecamaugsogovvn-1729127480
cucthongkedaklak.gso.gov.vn,Cục Thống kê tỉnh Đắk Lắk,Tổ chức nhà nước,16/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongkedaklakgsogovvn-1729041827
cucthongkedaknong.gso.gov.vn,Cục Thống kê Đắk Nông,Tổ chức nhà nước,03/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongkedaknonggsogovvn-1719888802
cucthongkehanam.gso.gov.vn,Cục Thống kê tỉnh Hà Nam,Tổ chức nhà nước,11/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongkehanamgsogovvn-1728548560
cucthongkequangninh.gso.gov.vn,Cục Thống kê tỉnh Quảng Ninh,Tổ chức nhà nước,27/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongkequangninhgsogovvn-1727324337
cucthongkesonla.gso.gov.vn,Cục Thống kê Sơn La,Tổ chức nhà nước,15/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongkesonlagsogovvn-1721010531
cucthongkethainguyen.gso.gov.vn,Cục Thống kê Thái Nguyên,Tổ chức nhà nước,11/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongkethainguyengsogovvn-1728546697
cucthongketiengiang.gso.gov.vn,Cục Thống kê tỉnh Tiền Giang,Tổ chức nhà nước,30/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongketiengianggsogovvn-1727402754
cumgar.daklak.gov.vn,"UBND huyện Cư Mgar, tỉnh Đắk Lắk",Tổ chức nhà nước,31/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cumgardaklakgovvn-1730345375
customs.gov.vn,Tổng cục Hải quan,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/customs.gov.vn
dadon.lamha.lamdong.gov.vn,CỔNG THÔNG TIN ĐIỆN TỬ XÃ ĐẠ ĐỜN,Tổ chức nhà nước,06/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dadonlamhalamdonggovvn-1733109067
daklak.gov.vn,UBND tỉnh Đắk Lắk,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/daklak.gov.vn
dalattech.vn,Trung tâm Ứng dụng khoa học và công nghệ tỉnh Lâm Đồng,Cơ quan nhà nước,26/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dalattechvn-1717040297
danang.gov.vn,UBND TP Đà Nẵng,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/danang.gov.vn
danchuphapluat.vn,Tạp chí Dân chủ và Pháp luật - Bộ Tư pháp,Tổ chức nhà nước,02/01/2025,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/danchuphapluatvn-1735790292
db.vista.gov.vn,Cục thông tin khoa học và công nghệ quốc gia,Tổ chức nhà nước,31/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dbvistagovvn-1730344646
dichvucong.angiang.gov.vn,Trung tâm Công nghệ thông tin và Truyền thông - Sở Thông tin và Truyền thông tỉnh An Giang,Tổ chức nhà nước,02/01/2025,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dichvucongangianggovvn-1735629003
dichvucong.danang.gov.vn,Cổng Dịch vụ công TP Đà Nẵng,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dichvucong.danang.gov.vn
dichvucong.gov.vn,Cổng Dịch vụ công Quốc gia,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dichvucong.gov.vn
dichvucong.hanoi.gov.vn,Sở Thông tin và Truyền thông Hà Nội,Tổ chức nhà nước,26/04/2025,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dichvuconghanoigovvn-1745641632
dichvucong.hatinh.gov.vn,Cổng Dịch vụ công tỉnh Hà Tĩnh,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dichvucong.hatinh.gov.vn
dichvucong.hochiminhcity.gov.vn,Cổng Dịch vụ công TP Hồ Chí Minh,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dichvucong.hochiminhcity.gov.vn
dichvucong.ninhbinh.gov.vn,UBND tỉnh Ninh Bình,Tổ chức nhà nước,23/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dichvucongninhbinhgovvn-1729500410
dichvucong.quangninh.gov.vn,Sở Thông tin và Truyền thông Quảng Ninh,Tổ chức nhà nước,26/04/2025,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dichvucongquangninhgovvn-1745642034
dichvucong.quangtri.gov.vn,Trung tâm Phục vụ hành chính công tỉnh Quảng Trị,Tổ chức nhà nước,02/01/2025,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dichvucongquangtrigovvn-1735010528
dichvucong.varans.vn,"Cục An toàn bức xạ và hạt nhân, Bộ  Khoa học và Công nghệ",Tổ chức nhà nước,25/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dichvucongvaransvn-1729744137
dienbien.gov.vn,UBND tỉnh Điện Biên,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dienbien.gov.vn
dienbiencflit.edu.vn,Trung tâm Ngoại ngữ - Tin học tỉnh Điện Biên,Tổ chức nhà nước,22/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dienbiencfliteduvn-1732247056
digibank.vietcombank.com.vn,Vietcombank VCB Digibank,Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/digibank.vietcombank.com.vn
dinhlac.dilinh.lamdong.gov.vn,UBND xã Đinh Lạc huyện Di Linh tỉnh Lâm Đồng,Tổ chức nhà nước,06/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dinhlacdilinhlamdonggovvn-1725583774
disanvanhoath.vn,"Sở Văn hóa, Thể thao và Du lịch tỉnh Thanh Hóa",Tổ chức nhà nước,26/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/disanvanhoathvn-1727317474
ditichlamkinh.vn,Ban quản lý  di tích lịch sử Lam Kinh tỉnh Thanh Hóa,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ditichlamkinhvn-1729133604
dklx.cdhue.edu.vn,Trường Cao đẳng Huế,Tổ chức nhà nước,06/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dklxcdhueeduvn-1733470626
doluongthunghiem.quangngai.gov.vn,Sở Thông tin và Truyền thông Quảng Ngãi,Tổ chức nhà nước,13/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/doluongthunghiemquangngaigovvn-1734078158
dongnai.gov.vn,UBND tỉnh Đồng Nai,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dongnai.gov.vn
dongthanh.tpninhbinh.ninhbinh.gov.vn,"Uỷ ban nhân dân phường Đông Thành, thành phố Ninh Bình, tỉnh Ninh Bình",Tổ chức nhà nước,27/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dongthanhtpninhbinhninhbinhgovvn-1719473043
dongthap.gov.vn,UBND tỉnh Đồng Tháp,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dongthap.gov.vn
doson.haiphong.gov.vn,Ủy ban nhân dân quận Đồ Sơn,Tổ chức nhà nước,29/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dosonhaiphonggovvn-1732585182
