domain,owner,type,certified_date,cert_level,detail_url
gso.gov.vn,Tổng cục Thống kê,Tổ chức nhà nước,07/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/gsogovvn-1728270073
haiduong.gdt.gov.vn,Cục Thuế tỉnh Hải Dương,Tổ chức nhà nước,07/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/haiduonggdtgovvn-1728268230
haiduong.gov.vn,UBND tỉnh Hải Dương,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/haiduong.gov.vn
haiphong.gov.vn,UBND TP Hải Phòng,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/haiphong.gov.vn
hanoi.gov.vn,UBND TP Hà Nội,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/hanoi.gov.vn
hatinh.gov.vn,UBND tỉnh Hà Tĩnh,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/hatinh.gov.vn
hdbank.com.vn,Ngân hàng TMCP Phát triển TP.HCM (HDBank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/hdbank.com.vn
hoabac.dilinh.lamdong.gov.vn,"UBND xã Hòa Bắc, tỉnh Lâm Đồng",Tổ chức nhà nước,09/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/hoabacdilinhlamdonggovvn-1728374792
hoabinh.gov.vn,UBND tỉnh Hòa Bình,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/hoabinh.gov.vn
hoaiduc.hanoi.gov.vn,"UBND huyện Hoài Đức, Hà Nội",Tổ chức nhà nước,27/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/hoaiduchanoigovvn-1732682747
hoatrung.dilinh.lamdong.gov.vn,"UBND xã Hòa Trung, huyện Di Linh, tỉnh Lâm Đồng",Tổ chức nhà nước,16/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/hoatrungdilinhlamdonggovvn-1712624562
hochiminhcity.gov.vn,UBND TP Hồ Chí Minh,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/hochiminhcity.gov.vn
hqa.com.vn,Công ty TNHH Thẩm định giá Hoàng Quân,Ngân hàng - Tổ chức tài chính,16/05/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/hqacomvn-1652673882
hsbc.com.vn,Ngân hàng TNHH Một thành viên HSBC (Việt Nam),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/hsbc.com.vn
hsc.com.vn,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh (HSC),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/hsc.com.vn
hungtien.kimson.ninhbinh.gov.vn,"UBND xã Hùng Tiến, huyện Kim Sơn, tỉnh Ninh Bình",Tổ chức nhà nước,18/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/hungtienkimsonninhbinhgovvn-1726563782
hungyen.gov.vn,UBND tỉnh Hưng Yên,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/hungyen.gov.vn
ibaohiem.net,Bảo hiểm trực tuyến IBAOHIEM,Ngân hàng - Tổ chức tài chính,21/07/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ibaohiemnet-1658304133
ibaohiem.vn,Bảo hiểm trực tuyến IBAOHIEM,Ngân hàng - Tổ chức tài chính,21/07/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ibaohiemvn-1658304152
ibaoviet.vn,Bảo hiểm trực tuyến IBAOHIEM,Ngân hàng - Tổ chức tài chính,21/07/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ibaovietvn-1658304165
inavn.vn,Công Ty Cổ Phần Đầu Tư Và Thẩm Định Quốc Tế Đông Dương,Ngân hàng - Tổ chức tài chính,16/05/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/inavnvn-1652676269
ipay.vietinbank.vn,VietinBank iPay,Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ipay.vietinbank.vn
ipvietnam.gov.vn,Cục Sở hữu trí tuệ - Bộ KHCN,Tổ chức nhà nước,25/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ipvietnamgovvn-1729738185
khanhhoa.gov.vn,UBND tỉnh Khánh Hòa,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/khanhhoa.gov.vn
khanhnhac.yenkhanh.ninhbinh.gov.vn,"Uỷ ban nhân dân xã Khánh Nhạc, huyện Yên Khánh, tỉnh Ninh Bình",Tổ chức nhà nước,27/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/khanhnhacyenkhanhninhbinhgovvn-1719457367
khanhthinh.yenmo.ninhbinh.gov.vn,"Uỷ ban nhân dân xã Khánh Thịnh, huyện Yên Mô, tỉnh Ninh Bình",Tổ chức nhà nước,27/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/khanhthinhyenmoninhbinhgovvn-1719457123
khanhthuy.yenkhanh.ninhbinh.gov.vn,"Uỷ ban nhân dân xã Khánh Thuỷ, huyện Yên Khánh, tỉnh Ninh Bình",Tổ chức nhà nước,27/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/khanhthuyyenkhanhninhbinhgovvn-1719457488
khoahockythuat.ninhbinh.gov.vn,Liên hiệp các hội Khoa học và Kỹ thuật tỉnh Ninh Bình,Tổ chức nhà nước,27/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/khoahockythuatninhbinhgovvn-1719457954
khoinghiep.daklak.gov.vn,Sở Kế hoạch và Đầu tư tỉnh Đắk Lắk,Tổ chức nhà nước,02/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/khoinghiepdaklakgovvn-1727680762
khuyennong.ninhbinh.gov.vn,"Trung tâm Khuyến nông, khuyến lâm, khuyến ngư Ninh Bình",Tổ chức nhà nước,29/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/khuyennongninhbinhgovvn-1724814830
kiemnghiemthanhhoa.vn,Trung tâm Kiểm nghiệm Thanh Hóa,Tổ chức nhà nước,25/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/kiemnghiemthanhhoavn-1732249794
kiemsatcaobang.vn,Viện kiểm sát nhân dân tỉnh Cao Bằng,Tổ chức nhà nước,17/02/2025,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/kiemsatcaobangvn-1738907496
kiengiang.gov.vn,UBND tỉnh Kiên Giang,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/kiengiang.gov.vn
kienlongbank.com,Ngân hàng TMCP Kiên Long (Kienlongbank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/kienlongbank.com
kimdinh.kimson.ninhbinh.gov.vn,"Uỷ ban nhân dân xã Kim Định, huyện Kim Sơn, tỉnh Ninh Bình",Tổ chức nhà nước,29/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/kimdinhkimsonninhbinhgovvn-1732669303
kimtan.kimson.ninhbinh.gov.vn,"Uỷ ban nhân dân xã Kim Tân, huyện Kim Sơn, tỉnh Ninh Bình",Tổ chức nhà nước,29/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/kimtankimsonninhbinhgovvn-1732668752
kln-bacton.angiang.gov.vn,Ban quản lý Khu lưu niệm Chủ tịch Tôn Đức Thắng,Tổ chức nhà nước,29/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/kln-bactonangianggovvn-1732757419
kntc.thanhhoa.gov.vn,Văn phòng UBND tỉnh Thanh Hóa,Tổ chức nhà nước,25/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/kntcthanhhoagovvn-1732249614
ksbt.vinhlong.gov.vn,Trung tâm Kiểm soát bệnh tật tỉnh Vĩnh Long,Tổ chức nhà nước,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ksbtvinhlonggovvn-1723689069
laichau.gov.vn,UBND tỉnh Lai Châu,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/laichau.gov.vn
lamdong.gov.vn,UBND tỉnh Lâm Đồng,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/lamdong.gov.vn
langson.gov.vn,UBND tỉnh Lạng Sơn,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/langson.gov.vn
laocai.gov.vn,UBND tỉnh Lào Cai,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/laocai.gov.vn
lgsp.quangngai.gov.vn,Sở Thông tin và Truyền thông Quảng Ngãi,Tổ chức nhà nước,13/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/lgspquangngaigovvn-1734078101
lienvietpostbank.com.vn,Ngân hàng TMCP Bưu điện Liên Việt (LPBank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/lienvietpostbank.com.vn
longan.gov.vn,UBND tỉnh Long An,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/longan.gov.vn
lpbank.com.vn,Ngân hàng TMCP Lộc Phát Việt Nam (LPBank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/lpbank.com.vn
luutrudientu.quangngai.gov.vn,Sở Thông tin và Truyền thông Quảng Ngãi,Tổ chức nhà nước,13/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/luutrudientuquangngaigovvn-1734078133
luutruhanoi.hanoi.gov.vn,Trung tâm Lưu trữ lịch sử Thành phố - Sở Nội Vụ Hà Nội,Tổ chức nhà nước,11/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/luutruhanoihanoigovvn-1730972422
maihuong.gov.vn,Bệnh viện tâm thần Ban ngày Mai Hương,Tổ chức nhà nước,11/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/maihuonggovvn-1730973452
mail.most.gov.vn,Bộ Khoa học và Công nghệ,Tổ chức nhà nước,24/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mailmostgovvn-1735011649
mail.vista.gov.vn,Cục thông tin khoa học và công nghệ quốc gia,Tổ chức nhà nước,31/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mailvistagovvn-1730344543
mbbank.com.vn,Ngân hàng TMCP Quân đội (MB Bank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mbbank.com.vn
mgsaosang2.haiphong.edu.vn,Trường Mầm non Sao Sáng 2,Cơ quan nhà nước,05/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mgsaosang2haiphongeduvn-1720146874
mn8-3.haiphong.edu.vn,Trường Mầm non 8-3,Cơ quan nhà nước,09/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mn8-3haiphongeduvn-1720509757
mnanhdung.haiphong.edu.vn,Trường mầm non Anh Dũng,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mnanhdunghaiphongeduvn-1714640660
mnbachdang.haiphong.edu.vn,Trường mầm non Bạch Đằng - Hồng Bàng - Hải Phòng,Cơ quan nhà nước,12/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mnbachdanghaiphongeduvn-1720753208
mndanghai.haiphong.edu.vn,Trường mầm non Đằng Hải,Cơ quan nhà nước,05/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mndanghaihaiphongeduvn-1715152891
mnhaiha.haiphong.edu.vn,Trường mầm non Hải Hà,Tổ chức nhà nước,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mnhaihahaiphongeduvn-1723521169
mnhiephoa.haiphong.edu.vn,Trường mầm non Hiệp Hòa,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mnhiephoahaiphongeduvn-1720432268
mnhoanang.haiphong.edu.vn,Lớp Mầm non độc lập Hoa Nắng,Cơ quan nhà nước,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mnhoananghaiphongeduvn-1723709054
mnhoatrangnguyentienlang.haiphong.edu.vn,Trường mầm non Hoa Trạng Nguyên,Cơ quan nhà nước,29/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mnhoatrangnguyentienlanghaiphongeduvn-1721979713
mnkhoinghia.haiphong.edu.vn,Trường mầm non Khởi Nghĩa,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mnkhoinghiahaiphongeduvn-1714977864
mnlienam.haiphong.edu.vn,Trường Mầm non Liên Am,Cơ quan nhà nước,31/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mnlienamhaiphongeduvn-1722331121
mnlythaito.haiphong.edu.vn,Trường Mầm non Lý Thái Tổ,Cơ quan nhà nước,24/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mnlythaitohaiphongeduvn-1721784526
mnminhphuong.haiphong.edu.vn,Trường Mầm non Minh Phương,Cơ quan nhà nước,17/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mnminhphuonghaiphongeduvn-1721146789
mnquangphuc.haiphong.edu.vn,Trường Mầm non Quang Phục,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mnquangphuchaiphongeduvn-1715152318
mnquyettien.haiphong.edu.vn,Trường Mầm non Quyết Tiến,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mnquyettienhaiphongeduvn-1715153268
mnthuchanhkienan.haiphong.edu.vn,Trường Mầm non Thực Hành,Cơ quan nhà nước,05/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mnthuchanhkienanhaiphongeduvn-1720153834
mntranduong.haiphong.edu.vn,Trường mầm non Trấn Dương,Cơ quan nhà nước,05/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mntranduonghaiphongeduvn-1714390918
mnvanhuong.haiphong.edu.vn,Trường Mầm non Vạn Hương,Cơ quan nhà nước,11/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mnvanhuonghaiphongeduvn-1720663569
moc.gov.vn,Bộ Xây dựng,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/moc.gov.vn
mod.gov.vn,Bộ Quốc phòng,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mod.gov.vn
moet.gov.vn,Bộ Giáo dục và Đào tạo,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/moet.gov.vn
mof.gov.vn,Bộ Tài chính,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mof.gov.vn
mofa.gov.vn,Bộ Ngoại giao Việt Nam,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mofa.gov.vn
moh.gov.vn,Bộ Y tế,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/moh.gov.vn
moit.gov.vn,Bộ Công Thương,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/moit.gov.vn
moj.gov.vn,Bộ Tư pháp,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/moj.gov.vn
molisa.gov.vn,Bộ Lao động - Thương binh và Xã hội,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/molisa.gov.vn
momo.vn,Công ty Cổ phần Dịch vụ Di động Trực tuyến (Momo),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/momo.vn
monre.gov.vn,Bộ Tài nguyên và Môi trường,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/monre.gov.vn
most.gov.vn,Bộ Khoa học và Công nghệ,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/most.gov.vn
mpi.gov.vn,Bộ Kế hoạch và Đầu tư,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mpi.gov.vn
mps.gov.vn,Bộ Công an,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mps.gov.vn
msb.com.vn,Ngân hàng TMCP Hàng hải Việt Nam (MSB),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/msb.com.vn
mst.gov.vn,Bộ Khoa học và Công nghệ,Tổ chức nhà nước,18/05/2026,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/mstgovvn-1779090452
muongcha.dienbien.gov.vn,UBND huyện Mường Chà,Tổ chức nhà nước,19/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/muongchadienbiengovvn-1726711293
namabank.com.vn,Ngân hàng TMCP Nam Á (Nam A Bank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/namabank.com.vn
namdinh.gov.vn,UBND tỉnh Nam Định,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/namdinh.gov.vn
namthanh.tpninhbinh.ninhbinh.gov.vn,"Uỷ ban nhân dân phường Nam Thành, thành phố Ninh Bình, tỉnh Ninh Bình",Tổ chức nhà nước,30/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/namthanhtpninhbinhninhbinhgovvn-1730185823
napas.com.vn,Công ty Cổ phần Thanh toán Quốc gia Việt Nam (Napas),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/napas.com.vn
ncb-bank.vn,Ngân hàng TMCP Quốc Dân (NCB),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ncb-bank.vn
ncsc.gov.vn,Trung tâm Giám sát an toàn không gian mạng quốc gia (NCSC),Tổ chức nhà nước,03/12/2024,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ncscgovvn-1733198332
nghean.gov.vn,UBND tỉnh Nghệ An,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/nghean.gov.vn
ninhan.hoalu.ninhbinh.gov.vn,"Uỷ ban nhân dân xã Ninh An, huyện Hoa Lư, tỉnh Ninh Bình",Tổ chức nhà nước,27/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ninhanhoaluninhbinhgovvn-1719456326
ninhbinh.gov.vn,UBND tỉnh Ninh Bình,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ninhbinh.gov.vn
ninhhai.hoalu.ninhbinh.gov.vn,"Uỷ ban nhân dân xã Ninh Hải, huyện Hoa Lư, tỉnh Ninh Bình",Tổ chức nhà nước,27/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ninhhaihoaluninhbinhgovvn-1719456558
ninhkhanh.tpninhbinh.ninhbinh.gov.vn,"Uỷ ban nhân dân phường Ninh Khánh, thành phố Ninh Bình, tỉnh Ninh Bình",Tổ chức nhà nước,30/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ninhkhanhtpninhbinhninhbinhgovvn-1730185950
ninhphong.tpninhbinh.ninhbinh.gov.vn,"Uỷ ban nhân dân phường Ninh Phong, thành phố Ninh Bình, tỉnh Ninh Bình",Tổ chức nhà nước,30/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ninhphongtpninhbinhninhbinhgovvn-1730186096
ninhphuc.tpninhbinh.ninhbinh.gov.vn,"Ủy ban nhân dân xã Ninh Phúc, thành phố Ninh Bình",Tổ chức nhà nước,30/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ninhphuctpninhbinhninhbinhgovvn-1730254597
ninhson.tpninhbinh.ninhbinh.gov.vn,"Uỷ ban nhân dân phường Ninh Sơn, thành phố Ninh Bình, tỉnh Ninh Bình",Tổ chức nhà nước,30/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ninhsontpninhbinhninhbinhgovvn-1730186204
ninhthuan.gov.vn,UBND tỉnh Ninh Thuận,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ninhthuan.gov.vn
ninhtien.tpninhbinh.ninhbinh.gov.vn,"UBND xã Ninh Tiến, thành phố Ninh Bình, tỉnh Ninh Bình",Tổ chức nhà nước,30/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ninhtientpninhbinhninhbinhgovvn-1730251578
ninhvan.hoalu.ninhbinh.gov.vn,"Uỷ ban nhân dân xã Ninh Vân, huyện Hoa Lư, tỉnh Ninh Bình",Tổ chức nhà nước,27/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ninhvanhoaluninhbinhgovvn-1719456441
noichinh.haiduong.org.vn,Ban Nội chính Tỉnh ủy tỉnh Hải Dương,Tổ chức nhà nước,07/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/noichinhhaiduongorgvn-1728268537
nongthonmoi.daklak.gov.vn,Văn phòng Điều phối Chương trình MTQG xây dựng NTM Đắk Lắk,Tổ chức nhà nước,24/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/nongthonmoidaklakgovvn-1726825458
nsw.varans.vn,"Cục An toàn bức xạ và hạt nhân, Bộ  Khoa học và Công nghệ",Tổ chức nhà nước,25/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/nswvaransvn-1729744145
nududo.com,Siêu thị chứng khoán Nududo,Ngân hàng - Tổ chức tài chính,28/12/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/nududocom-1638948834
ocb.com.vn,Ngân hàng TMCP Phương Đông (OCB),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ocb.com.vn
oceanbank.vn,Ngân hàng Thương mại TNHH MTV Đại Dương (OceanBank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/oceanbank.vn
office.quangngai.gov.vn,Sở Thông tin và Truyền thông Quảng Ngãi,Tổ chức nhà nước,11/02/2025,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/officequangngaigovvn-1738569820
openaccount.vps.com.vn,Công ty chứng khoán VPS,Ngân hàng - Tổ chức tài chính,06/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/httpsopenaccountvpscomvn-1619694453
opendata.quangngai.gov.vn,Sở Thông tin và Truyền thông Quảng Ngãi,Tổ chức nhà nước,13/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/opendataquangngaigovvn-1688609284
payoo.vn,Công Ty Cổ Phần Dịch Vụ Trực Tuyến Cộng Đồng Việt,Ngân hàng - Tổ chức tài chính,20/12/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/payoovn-1669949411
pbpl.lamdong.gov.vn,"Trang Thông tin về Phổ biến, giáo dục pháp luật tỉnh Lâm Đồng",Tổ chức nhà nước,25/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/pbpllamdonggovvn-1731893838
pgbank.com.vn,Ngân hàng TMCP Thịnh vượng và Phát triển (PGBank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/pgbank.com.vn
pgdkienluong.gov.vn,Phòng Giáo dục & Đào tạo huyện Kiên Lương,Tổ chức nhà nước,02/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/pgdkienluonggovvn-1727775198
