domain,owner,category_type,certified_date,cert_level,license_number,status,detail_url
2ca.vn,CÔNG TY CỔ PHẦN VNG,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2018-01-25,Giấy phép (ABEI),88/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
2dance.vn,CÔNG TY CỔ PHẦN TRỰC TUYẾN GOSU,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2016-12-19,Giấy phép (ABEI),2272/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
2dep.com.vn,Công ty cổ phần ART APP,Website - Trang mạng xã hội,,Giấy phép (TVPL PDF),,valid,
2dep.vn,Công ty cổ phần ART APP,Website - Trang mạng xã hội,,Giấy phép (TVPL PDF),,valid,
2funny.vn,Công ty Cổ phần Truyền thông và Công nghệ Ditech,Website - Trang mạng xã hội,,Giấy phép (TVPL PDF),,valid,
2game.vn,CÔNG TY CỔ PHẦN WETAPS,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2020-09-30,Giấy phép (ABEI),428/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
2kcn.vn,CÔNG TY CỔ PHẦN XÚC TIẾN ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ TOÀN CẦU,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2023-01-11,Giấy phép (ABEI),12/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
2lua.vn,Công ty TNHH Xuất nhập khẩu 2 Lúa,Website - Trang TTĐT tổng hợp,,Giấy phép (TVPL PDF),,valid,
2sao.vn,Công ty Cổ phần Truyền thông Vietnamnet,Website - Trang TTĐT tổng hợp,,Giấy phép (TVPL PDF),,valid,
2sao.com.vn,Công ty Cổ phần Truyền thông Vietnamnet,Website - Trang TTĐT tổng hợp,,Giấy phép (TVPL PDF),,valid,
357games.vn,CÔNG TY CỔ PHẦN GIẢI TRÍ 357,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2026-04-29,Giấy phép (ABEI),211/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
360game.vn,CÔNG TY TNHH TRUYỀN THÔNG MINH PHƯƠNG THỊNH,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2018-06-05,Giấy phép (ABEI),861/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
360news.com.vn,Công ty TNHH Carvill Việt Nam,Website - Trang TTĐT tổng hợp,,Giấy phép (TVPL PDF),,valid,
365vietnam.vn,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN HOA VĨ,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2017-02-10,Giấy phép (ABEI),59/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
3gctm.gamota.com,CÔNG TY CỔ PHẦN GAMOTA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2024-02-02,Giấy phép (ABEI),126/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3k.dzogame.vn,Công ty TNHH Dzogame ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2025-10-08,Giấy phép (ABEI),437/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
3q.360mobi.vn,CÔNG TY TNHH GIẢI TRÍ LONG ĐỈNH,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2016-06-01,Giấy phép (ABEI),935/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3q.360play.vn,CÔNG TY TNHH TRUYỀN THÔNG MINH PHƯƠNG THỊNH,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2021-08-30,Giấy phép (ABEI),1321/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3q.gaba.vn,CÔNG TY CỔ PHẦN TRÒ CHƠI VEGA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2018-04-10,Giấy phép (ABEI),520/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3q.vsgame.vn,CÔNG TY CỔ PHẦN VISION GAME,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2023-08-29,Giấy phép (ABEI),1663/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
3qafk.mobiz.vn,CÔNG TY CỔ PHẦN MOBIZ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2020-12-04,Giấy phép (ABEI),2141/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3qbavuong.vn,CÔNG TY TNHH SOHA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2020-07-14,Giấy phép (ABEI),1182 /QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3qcccc.mocgame.vn,CÔNG TY CỔ PHẦN TRÒ CHƠI MỘC,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2024-05-31,Giấy phép (ABEI),891/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
3qchayngaydi.vn,CÔNG TY TNHH SOHA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2019-09-30,Giấy phép (ABEI),1601/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3qchess.sohagame.vn,CÔNG TY TNHH SOHA ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2025-10-16,Giấy phép (ABEI),461/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
3qchienchien.vn,CÔNG TY CỔ PHẦN VCCORP,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2024-03-26,Giấy phép (ABEI),387/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
