domain,owner,category_type,certified_date,cert_level,license_number,status,detail_url
365vietnam.vn,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN HOA VĨ,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2017-02-10,Giấy phép chính thức (ABEI - Bộ TT&TT),59/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
3gctm.gamota.com,CÔNG TY CỔ PHẦN GAMOTA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2024-02-02,Giấy phép chính thức (ABEI - Bộ TT&TT),126/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3k.dzogame.vn,Công ty TNHH Dzogame ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2025-10-08,Giấy phép chính thức (ABEI - Bộ TT&TT),437/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
3q.360mobi.vn,CÔNG TY TNHH GIẢI TRÍ LONG ĐỈNH,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2016-06-01,Giấy phép chính thức (ABEI - Bộ TT&TT),935/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3q.360play.vn,CÔNG TY TNHH TRUYỀN THÔNG MINH PHƯƠNG THỊNH,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2021-08-30,Giấy phép chính thức (ABEI - Bộ TT&TT),1321 /QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3q.gaba.vn,CÔNG TY CỔ PHẦN TRÒ CHƠI VEGA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2018-04-10,Giấy phép chính thức (ABEI - Bộ TT&TT),520/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3q.vsgame.vn,CÔNG TY CỔ PHẦN VISION GAME,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2026-07-07,Giấy phép chính thức (ABEI - Bộ TT&TT),391/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
3qafk.mobiz.vn,CÔNG TY CỔ PHẦN MOBIZ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2020-12-04,Giấy phép chính thức (ABEI - Bộ TT&TT),2141/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3qbavuong.vn,CÔNG TY TNHH SOHA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2020-07-14,Giấy phép chính thức (ABEI - Bộ TT&TT),1182 /QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3qcccc.mocgame.vn,CÔNG TY CỔ PHẦN TRÒ CHƠI MỘC,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2024-05-31,Giấy phép chính thức (ABEI - Bộ TT&TT),891/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
