case_id,domain,traffic_stratum,source_ref,source_trust_tier,model_revision,model_threshold,shadow_would_block,shadow_probability,human_label,label_confidence,evidence_type,reviewer_id,reviewed_at,evidence_refs,review_outcome,review_notes,critical_benign_stratum,deterministic_would_block,second_human_label,second_reviewer_id
wlp-b5ea084a4c2e29b5,benhviendalieuthanhhoa.com,targeted_benign_ml_candidate,data/whitelist/vietnam/vietnam_websites.csv,official_trust_directory,4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca,0.85,true,0.9257835736488635,benign,high,official source,reviewer.vmc,2026-08-23T20:33:07+07:00,evidence/benhviendalieuthanhhoa.com.md,false_positive,Owner-reviewed legitimate hospital website listed by Tín Nhiệm Mạng,,,,
wlp-bb18f893add288ee,benhviennoitietthanhhoa.com,targeted_benign_ml_candidate,data/whitelist/vietnam/vietnam_websites.csv,official_trust_directory,4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca,0.85,true,0.9384566167627869,benign,high,official source,reviewer.vmc,2026-08-23T20:33:07+07:00,evidence/benhviennoitietthanhhoa.com.md,false_positive,Owner-reviewed legitimate hospital website listed by Tín Nhiệm Mạng,,,,
wlp-ce0fd67aa276f84b,vietmassagebuiquocchau.com,targeted_benign_ml_candidate,data/whitelist/vietnam/vietnam_websites.csv,official_trust_directory,4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca,0.85,true,0.9563838532880636,benign,high,official source,reviewer.vmc,2026-08-23T20:33:07+07:00,evidence/vietmassagebuiquocchau.com.md,false_positive,Owner-reviewed legitimate business website listed by Tín Nhiệm Mạng,,,,
